时间,会话ID,模型,输入tokens,输出tokens,缓存读取,缓存创建,总计tokens,用户提示词,回复摘要
2026-07-15T13:58:52.203Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,857,328,125952,0,1185,,
2026-07-15T13:59:10.596Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,448,469,127104,0,917,,
2026-07-15T14:03:06.795Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,4117,612,128000,0,4729,<task-notification> <task-id>af8b14a673d0c2f52</task-id> <tool-use-id>call_02_Tf5MyPsWSjfnq3JZmB6v9117</tool-use-id> <output-file>/tmp/claude-1000/-home-lili/b71d418c-abee-4667-aeb7-2d6eb434db7a/tasks,
2026-07-15T14:03:10.852Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,777,435,132608,0,1212,,
2026-07-15T16:03:08.896Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,26691,306,0,0,26997,<ide_opened_file>The user opened the file /home/lili/TC_try/rank_result_deepseek_pro/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/a37c111/run_20260715_153215/dataset_variants/without_non_regr,
2026-07-15T16:03:12.703Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,388,446,26624,0,834,,
2026-07-15T16:03:13.844Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,388,446,26624,0,834,,
2026-07-15T16:03:14.233Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,388,446,26624,0,834,,
2026-07-15T16:03:14.688Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,388,446,26624,0,834,,
2026-07-15T16:03:15.143Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,388,446,26624,0,834,,
2026-07-15T16:03:25.017Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,18207,858,27392,0,19065,,
2026-07-15T16:03:30.825Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,904,665,45568,0,1569,,
2026-07-15T16:04:03.162Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,748,632,47104,0,1380,,
2026-07-15T16:04:05.372Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,748,632,47104,0,1380,,
2026-07-15T16:04:06.194Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,748,632,47104,0,1380,,
2026-07-15T16:04:14.873Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,5488,950,48384,0,6438,,
2026-07-15T16:04:17.289Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,5488,950,48384,0,6438,,
2026-07-15T16:04:18.443Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,5488,950,48384,0,6438,,
2026-07-15T16:04:40.166Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,3924,2221,53760,0,6145,,
2026-07-15T16:04:42.754Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,3924,2221,53760,0,6145,,
2026-07-15T16:04:44.116Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,3924,2221,53760,0,6145,,
2026-07-15T16:04:51.370Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,3224,613,57600,0,3837,,
2026-07-15T16:04:53.299Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,3224,613,57600,0,3837,,
2026-07-15T16:05:03.171Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,2993,1125,61312,0,4118,,
2026-07-15T16:05:05.570Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,2993,1125,61312,0,4118,,
2026-07-15T16:05:06.759Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,2993,1125,61312,0,4118,,
2026-07-15T16:05:25.368Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,129,1810,65408,0,1939,,
2026-07-15T16:05:27.639Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,129,1810,65408,0,1939,,
2026-07-15T16:05:28.720Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,129,1810,65408,0,1939,,
2026-07-15T16:05:41.708Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,4461,1002,67328,0,5463,,
2026-07-15T16:05:45.876Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,1126,498,71680,0,1624,,
2026-07-15T16:05:48.708Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,1126,498,71680,0,1624,,
2026-07-15T16:05:50.053Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,1126,498,71680,0,1624,,
2026-07-15T16:07:13.442Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,2521,3719,73216,0,6240,,
2026-07-15T16:08:55.155Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,8529,6061,79360,0,14590,,
2026-07-15T16:09:14.469Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,7619,11819,93824,0,19438,,
2026-07-15T16:10:55.462Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,214,335,113152,0,549,,
2026-07-15T16:11:25.706Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,478,270,113664,0,748,,
2026-07-15T16:11:30.592Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,212,264,114304,0,476,,
2026-07-15T16:11:35.200Z,828a2aab-876b-4d78-badc-55b1e880ba09,deepseek-v4-pro,132,502,114688,0,634,,
2026-07-15T13:54:31.616Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,26600,441,0,0,27041,<ide_opened_file>The user opened the file /home/lili/TC_try/rank_result_deepseek_pro/hadoop_git_da0dbf1/da0dbf1/run_20260715_152650/dataset_variants/with_non_regression/model_prompt.txt in the IDE. Th,
2026-07-15T13:54:32.642Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,26600,441,0,0,27041,,
2026-07-15T13:54:33.061Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,26600,441,0,0,27041,,
2026-07-15T13:54:33.862Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,26600,441,0,0,27041,,
2026-07-15T13:54:57.882Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,23096,2162,27008,0,25258,,
2026-07-15T13:55:12.039Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,3094,2148,52224,0,5242,,
2026-07-15T13:55:33.979Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,689,266,57344,0,955,,
2026-07-15T13:55:38.309Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,77,208,58240,0,285,,
2026-07-15T13:55:43.901Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,1275,569,58496,0,1844,,
2026-07-15T13:55:45.137Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,1275,569,58496,0,1844,,
2026-07-15T13:55:45.796Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,1275,569,58496,0,1844,,
2026-07-15T13:55:46.356Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,1275,569,58496,0,1844,,
2026-07-15T13:55:46.974Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,1275,569,58496,0,1844,,
2026-07-15T13:56:15.059Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,6557,2689,60288,0,9246,,
2026-07-15T13:56:16.483Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,6557,2689,60288,0,9246,,
2026-07-15T13:56:17.100Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,6557,2689,60288,0,9246,,
2026-07-15T13:56:17.810Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,6557,2689,60288,0,9246,,
2026-07-15T13:56:18.615Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,6557,2689,60288,0,9246,,
2026-07-15T13:56:41.535Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,4682,2159,69504,0,6841,,
2026-07-15T13:56:43.594Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,4682,2159,69504,0,6841,,
2026-07-15T13:56:53.438Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,3811,785,74112,0,4596,,
2026-07-15T13:56:59.366Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,3811,785,74112,0,4596,,
2026-07-15T13:57:10.261Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,1106,897,78592,0,2003,,
2026-07-15T13:57:11.405Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,1106,897,78592,0,2003,,
2026-07-15T13:58:06.395Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,6059,3021,80512,0,9080,,
2026-07-15T13:58:07.914Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,6059,3021,80512,0,9080,,
2026-07-15T13:58:08.640Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,6059,3021,80512,0,9080,,
2026-07-15T13:58:41.782Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,3792,3113,89472,0,6905,,
2026-07-15T13:58:43.757Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,3792,3113,89472,0,6905,,
2026-07-15T13:58:58.138Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,958,6165,96256,0,7123,,
2026-07-15T13:59:57.486Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,1527,1104,103296,0,2631,,
2026-07-15T14:00:13.575Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,161,357,105856,0,518,,
2026-07-15T14:00:28.525Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,390,217,106368,0,607,,
2026-07-15T14:00:33.074Z,01eaa60f-79ef-4e9f-b7dc-a5a5bf87f04a,deepseek-v4-pro,703,552,106880,0,1255,,
2026-07-15T13:54:48.298Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,26600,460,0,0,27060,<ide_opened_file>The user opened the file /home/lili/TC_try/rank_result_deepseek_pro/hadoop_git_da0dbf1/da0dbf1/run_20260715_152650/dataset_variants/without_non_regression/model_prompt.txt in the IDE.,
2026-07-15T13:54:49.342Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,26600,460,0,0,27060,,
2026-07-15T13:54:49.715Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,26600,460,0,0,27060,,
2026-07-15T13:54:50.105Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,26600,460,0,0,27060,,
2026-07-15T13:54:50.464Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,26600,460,0,0,27060,,
2026-07-15T13:55:04.259Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,22374,1193,27008,0,23567,,
2026-07-15T13:55:05.530Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,22374,1193,27008,0,23567,,
2026-07-15T13:55:15.850Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,2391,1109,50560,0,3500,,
2026-07-15T13:55:18.710Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,2391,1109,50560,0,3500,,
2026-07-15T13:55:21.548Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,4878,511,54016,0,5389,,
2026-07-15T13:55:22.957Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,4878,511,54016,0,5389,,
2026-07-15T13:55:23.598Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,4878,511,54016,0,5389,,
2026-07-15T13:55:24.259Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,4878,511,54016,0,5389,,
2026-07-15T13:55:47.281Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,12756,2231,59392,0,14987,,
2026-07-15T13:55:52.607Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,2335,8002,72064,0,10337,,
2026-07-15T13:57:41.624Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,412,653,82304,0,1065,,
2026-07-15T13:58:07.378Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,280,374,83328,0,654,,
2026-07-15T13:58:08.677Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,280,374,83328,0,654,,
2026-07-15T13:58:09.275Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,280,374,83328,0,654,,
2026-07-15T13:58:19.806Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,12056,851,83968,0,12907,,
2026-07-15T13:58:22.887Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,186,810,96768,0,996,,
2026-07-15T13:58:25.749Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,186,810,96768,0,996,,
2026-07-15T13:58:27.053Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,186,810,96768,0,996,,
2026-07-15T13:58:28.182Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,186,810,96768,0,996,,
2026-07-15T13:58:29.047Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,186,810,96768,0,996,,
2026-07-15T13:59:19.614Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,5936,6028,96896,0,11964,,
2026-07-15T13:59:24.435Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,5936,6028,96896,0,11964,,
2026-07-15T13:59:26.480Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,5936,6028,96896,0,11964,,
2026-07-15T13:59:28.375Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,5936,6028,96896,0,11964,,
2026-07-15T13:59:34.601Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,851,714,108800,0,1565,,
2026-07-15T14:01:08.871Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,817,21872,109568,0,22689,,
2026-07-15T14:04:00.352Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,121,291,132224,0,412,,
2026-07-15T14:04:16.224Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,106,439,132608,0,545,,
2026-07-15T14:04:20.971Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,651,272,132608,0,923,,
2026-07-15T14:04:33.303Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,498,221,133504,0,719,,
2026-07-15T14:04:36.507Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,119,575,134144,0,694,,
2026-07-15T14:07:38.964Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,39818,366,96768,0,40184,<task-notification> <task-id>ae29deaa9da03c5f0</task-id> <tool-use-id>call_00_pFzKnPwD80WlbQGDUYtC8747</tool-use-id> <output-file>/tmp/claude-1000/-home-lili/bb657151-b13b-487c-818b-cd46fac0cb96/tasks,
2026-07-15T14:07:42.687Z,bb657151-b13b-487c-818b-cd46fac0cb96,deepseek-v4-pro,29,384,136576,0,413,[Your previous response had no visible output. Please continue and produce a user-visible response.],
2026-07-15T13:55:16.472Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,26587,441,0,0,27028,<ide_opened_file>The user opened the file /home/lili/TC_try/rank_result_deepseek_pro/karaf_git_49ca16e/49ca16e/run_20260715_152726/dataset_variants/with_non_regression/model_prompt.txt in the IDE. Thi,
2026-07-15T13:55:17.363Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,26587,441,0,0,27028,,
2026-07-15T13:55:17.791Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,26587,441,0,0,27028,,
2026-07-15T13:55:18.148Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,26587,441,0,0,27028,,
2026-07-15T13:55:18.526Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,26587,441,0,0,27028,,
2026-07-15T13:55:30.788Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,18023,1468,27008,0,19491,,
2026-07-15T13:55:56.812Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,277,397,46464,0,674,,
2026-07-15T13:55:58.447Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,277,397,46464,0,674,,
2026-07-15T13:55:59.190Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,277,397,46464,0,674,,
2026-07-15T13:56:20.399Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,2899,2736,46720,0,5635,,
2026-07-15T13:56:24.418Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,2899,2736,46720,0,5635,,
2026-07-15T13:57:03.109Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,4086,3398,49536,0,7484,,
2026-07-15T13:57:04.353Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,4086,3398,49536,0,7484,,
2026-07-15T13:57:05.305Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,4086,3398,49536,0,7484,,
2026-07-15T13:57:12.331Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,1610,519,56960,0,2129,,
2026-07-15T13:57:49.049Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,3051,4245,59008,0,7296,,
2026-07-15T13:57:50.892Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,3051,4245,59008,0,7296,,
2026-07-15T13:57:52.057Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,3051,4245,59008,0,7296,,
2026-07-15T13:57:52.952Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,3051,4245,59008,0,7296,,
2026-07-15T13:57:53.791Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,3051,4245,59008,0,7296,,
2026-07-15T13:58:16.961Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,4637,14474,66304,0,19111,,
2026-07-15T13:59:40.185Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,126,294,85376,0,420,,
2026-07-15T13:59:58.612Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,416,148,85760,0,564,,
2026-07-15T14:00:03.517Z,da544323-cca0-4ebb-978c-714b671c0fc3,deepseek-v4-pro,9893,480,86272,0,10373,,
2026-07-15T13:55:49.788Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,26587,432,0,0,27019,<ide_opened_file>The user opened the file /home/lili/TC_try/rank_result_deepseek_pro/karaf_git_49ca16e/49ca16e/run_20260715_152726/dataset_variants/without_non_regression/model_prompt.txt in the IDE. ,
2026-07-15T13:55:50.663Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,26587,432,0,0,27019,,
2026-07-15T13:55:50.937Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,26587,432,0,0,27019,,
2026-07-15T13:55:51.292Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,26587,432,0,0,27019,,
2026-07-15T13:55:51.706Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,26587,432,0,0,27019,,
2026-07-15T13:56:20.466Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,17997,3026,27008,0,21023,,
2026-07-15T13:56:30.084Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,5214,413,48000,0,5627,,
2026-07-15T13:56:31.470Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,5214,413,48000,0,5627,,
2026-07-15T13:56:32.060Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,5214,413,48000,0,5627,,
2026-07-15T13:56:42.450Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,4212,974,53504,0,5186,,
2026-07-15T13:56:43.379Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,4212,974,53504,0,5186,,
2026-07-15T13:56:44.089Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,4212,974,53504,0,5186,,
2026-07-15T13:56:47.841Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,6100,459,58624,0,6559,,
2026-07-15T13:56:49.673Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,6100,459,58624,0,6559,,
2026-07-15T13:56:50.374Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,6100,459,58624,0,6559,,
2026-07-15T13:57:21.304Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,1494,2643,64640,0,4137,,
2026-07-15T13:57:23.206Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,1494,2643,64640,0,4137,,
2026-07-15T13:57:26.099Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,2751,211,66048,0,2962,,
2026-07-15T13:57:29.691Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,31,334,68992,0,365,,
2026-07-15T13:57:30.943Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,31,334,68992,0,365,,
2026-07-15T13:58:28.675Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,1528,7164,69248,0,8692,,
2026-07-15T13:58:30.098Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,1528,7164,69248,0,8692,,
2026-07-15T13:58:48.030Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,699,1410,77824,0,2109,,
2026-07-15T13:58:58.444Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,1264,951,79872,0,2215,,
2026-07-15T13:59:03.446Z,85416c46-3a61-460d-85bf-60c121d78c3b,deepseek-v4-pro,455,14251,82048,0,14706,,
