rank,candidate_id,testcase_class,source_file,reason
15,46,org.apache.karaf.deployer.kar.KarArtifactInstallerTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/deployer/kar/src/test/java/org/apache/karaf/deployer/kar/KarArtifactInstallerTest.java,
16,63,org.apache.karaf.itests.ConfigTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/ConfigTest.java,
17,24,org.apache.karaf.itests.OverrideConfigTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/OverrideConfigTest.java,
18,92,org.apache.karaf.itests.ServiceTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/ServiceTest.java,
19,17,org.apache.karaf.itests.JavaSecurityTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/JavaSecurityTest.java,
20,58,org.apache.karaf.itests.JMXSecurityTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/JMXSecurityTest.java,
21,81,org.apache.karaf.itests.XATest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/XATest.java,
22,85,org.apache.karaf.itests.WrapperTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/WrapperTest.java,
23,27,org.apache.karaf.itests.HttpTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/HttpTest.java,
24,99,org.apache.karaf.examples.itests.ExampleWithConfigITest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/examples/karaf-itest-example/src/test/java/org/apache/karaf/examples/itests/ExampleWithConfigITest.java,
25,1,org.apache.karaf.itests.examples.NamespaceHandlerExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/NamespaceHandlerExampleTest.java,
26,2,org.apache.karaf.itests.examples.SchedulerExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/SchedulerExampleTest.java,
27,8,org.apache.karaf.itests.examples.MBeanExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/MBeanExampleTest.java,
28,16,org.apache.karaf.itests.examples.WarExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/WarExampleTest.java,
29,20,org.apache.karaf.itests.examples.CdiExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/CdiExampleTest.java,
30,21,org.apache.karaf.itests.examples.SoapExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/SoapExampleTest.java,
31,23,org.apache.karaf.itests.examples.RestExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/RestExampleTest.java,
32,26,org.apache.karaf.itests.examples.ScrExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/ScrExampleTest.java,
33,28,org.apache.karaf.itests.examples.LogAppenderExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/LogAppenderExampleTest.java,
34,31,org.apache.karaf.itests.examples.DumpExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/DumpExampleTest.java,
35,34,org.apache.karaf.itests.examples.CamelExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/CamelExampleTest.java,
36,64,org.apache.karaf.itests.examples.ScrExampleWithEquinoxTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/ScrExampleWithEquinoxTest.java,
37,70,org.apache.karaf.itests.examples.BlueprintExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/BlueprintExampleTest.java,
38,71,org.apache.karaf.itests.examples.JdbcExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/JdbcExampleTest.java,
39,95,org.apache.karaf.itests.examples.CommandExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/CommandExampleTest.java,
40,102,org.apache.karaf.itests.examples.JaasExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/JaasExampleTest.java,
41,3,org.apache.karaf.itests.mavenresolver.MavenResolverRegisteredOnlyAfterConfigAdminTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/mavenresolver/MavenResolverRegisteredOnlyAfterConfigAdminTest.java,
42,66,org.apache.karaf.itests.mavenresolver.MavenResolverRegisteredBeforeConfigAdminTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/mavenresolver/MavenResolverRegisteredBeforeConfigAdminTest.java,
43,4,org.apache.karaf.instance.core.management.internal.InstanceToTableMapperTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/instance/src/test/java/org/apache/karaf/instance/core/management/internal/InstanceToTableMapperTest.java,
44,5,org.apache.karaf.maven.core.MavenRepositoryURLTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/maven/core/src/test/java/org/apache/karaf/maven/core/MavenRepositoryURLTest.java,
45,6,org.apache.karaf.event.command.EventDisplayCommandTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/event/src/test/java/org/apache/karaf/event/command/EventDisplayCommandTest.java,
46,9,org.apache.karaf.config.command.EditCommandTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/config/src/test/java/org/apache/karaf/config/command/EditCommandTest.java,
47,10,org.apache.karaf.jaas.modules.ldap.LdapLoginModuleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/jaas/modules/src/test/java/org/apache/karaf/jaas/modules/ldap/LdapLoginModuleTest.java,
48,11,org.apache.karaf.main.lock.OracleJDBCLockTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/main/src/test/java/org/apache/karaf/main/lock/OracleJDBCLockTest.java,
49,12,org.apache.karaf.management.KarafMBeanServerGuardTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/management/server/src/test/java/org/apache/karaf/management/KarafMBeanServerGuardTest.java,
50,14,org.apache.karaf.shell.commands.impl.InfoTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/shell/commands/src/test/java/org/apache/karaf/shell/commands/impl/InfoTest.java,
51,15,org.apache.karaf.shell.ssh.KnownHostsManagerTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/shell/ssh/src/test/java/org/apache/karaf/shell/ssh/KnownHostsManagerTest.java,
52,18,org.apache.karaf.main.MainLockingTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/main/src/test/java/org/apache/karaf/main/MainLockingTest.java,
53,19,org.apache.karaf.util.ParserTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/util/src/test/java/org/apache/karaf/util/ParserTest.java,
54,22,org.apache.karaf.jaas.modules.properties.PropertiesLoginModuleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/jaas/modules/src/test/java/org/apache/karaf/jaas/modules/properties/PropertiesLoginModuleTest.java,
55,25,org.apache.karaf.main.util.SimpleMavenResolverTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/main/src/test/java/org/apache/karaf/main/util/SimpleMavenResolverTest.java,
56,30,org.apache.karaf.service.guard.impl.GuardProxyCatalogTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/service/guard/src/test/java/org/apache/karaf/service/guard/impl/GuardProxyCatalogTest.java,
57,32,org.apache.karaf.management.internal.JMXSecurityMBeanImplTestCase,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/management/server/src/test/java/org/apache/karaf/management/internal/JMXSecurityMBeanImplTestCase.java,
58,33,org.apache.karaf.service.guard.impl.GuardingFindHookTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/service/guard/src/test/java/org/apache/karaf/service/guard/impl/GuardingFindHookTest.java,
59,35,org.apache.karaf.service.interceptor.impl.runtime.proxy.AsmProxyFactoryTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/services/interceptor/impl/src/test/java/org/apache/karaf/service/interceptor/impl/runtime/proxy/AsmProxyFactoryTest.java,
60,36,org.apache.karaf.shell.impl.action.command.ActionMaskingCallbackTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/shell/core/src/test/java/org/apache/karaf/shell/impl/action/command/ActionMaskingCallbackTest.java,
61,38,org.apache.karaf.system.internal.SystemServiceImplTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/system/src/test/java/org/apache/karaf/system/internal/SystemServiceImplTest.java,
62,40,org.apache.karaf.main.MainTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/main/src/test/java/org/apache/karaf/main/MainTest.java,
63,41,org.apache.karaf.packages.command.PackageImportTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/package/src/test/java/org/apache/karaf/packages/command/PackageImportTest.java,
64,42,org.apache.karaf.itests.ssh.KarSshCommandSecurityTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/ssh/KarSshCommandSecurityTest.java,
65,43,org.apache.karaf.main.lock.DefaultJDBCLockTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/main/src/test/java/org/apache/karaf/main/lock/DefaultJDBCLockTest.java,
66,44,org.apache.karaf.jaas.modules.ldap.BadReferenceTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/jaas/modules/src/test/java/org/apache/karaf/jaas/modules/ldap/BadReferenceTest.java,
67,45,org.apache.karaf.maven.SettingsTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/maven/core/src/test/java/org/apache/karaf/maven/SettingsTest.java,
68,47,org.apache.karaf.shell.ssh.ServerKeyVerifierImplTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/shell/ssh/src/test/java/org/apache/karaf/shell/ssh/ServerKeyVerifierImplTest.java,
69,49,org.apache.karaf.specs.locator.OsgiLocatorTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/specs/activator/src/test/java/org/apache/karaf/specs/locator/OsgiLocatorTest.java,
70,50,org.apache.karaf.jaas.modules.jdbc.JdbcLoginModuleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/jaas/modules/src/test/java/org/apache/karaf/jaas/modules/jdbc/JdbcLoginModuleTest.java,
71,51,org.apache.karaf.packages.core.internal.filter.FilterParserTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/package/src/test/java/org/apache/karaf/packages/core/internal/filter/FilterParserTest.java,
72,52,org.apache.karaf.jaas.blueprint.jasypt.handler.EncryptablePropertyPlaceholderTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/jaas/blueprint/jasypt/src/test/java/org/apache/karaf/jaas/blueprint/jasypt/handler/EncryptablePropertyPlaceholderTest.java,
73,54,org.apache.karaf.main.lock.PostgreSQLJDBCLockTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/main/src/test/java/org/apache/karaf/main/lock/PostgreSQLJDBCLockTest.java,
74,55,org.apache.karaf.instance.command.CreateCommandTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/instance/src/test/java/org/apache/karaf/instance/command/CreateCommandTest.java,
75,56,org.apache.karaf.bundle.command.bundletree.TreeTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/bundle/core/src/test/java/org/apache/karaf/bundle/command/bundletree/TreeTest.java,
76,59,org.apache.karaf.jaas.modules.syncope.SyncopeLoginModuleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/jaas/modules/src/test/java/org/apache/karaf/jaas/modules/syncope/SyncopeLoginModuleTest.java,
77,60,org.apache.karaf.jaas.modules.ldap.LdapPoolingTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/jaas/modules/src/test/java/org/apache/karaf/jaas/modules/ldap/LdapPoolingTest.java,
78,61,org.apache.karaf.jaas.modules.ldap.LdapLoginModuleWithEscapesTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/jaas/modules/src/test/java/org/apache/karaf/jaas/modules/ldap/LdapLoginModuleWithEscapesTest.java,
79,62,org.apache.karaf.jaas.modules.krb5.Krb5LoginModuleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/jaas/modules/src/test/java/org/apache/karaf/jaas/modules/krb5/Krb5LoginModuleTest.java,
80,65,org.apache.karaf.http.core.internal.HttpMBeanImplTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/http/src/test/java/org/apache/karaf/http/core/internal/HttpMBeanImplTest.java,
81,67,org.apache.karaf.shell.impl.console.parsing.ParsingTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/shell/core/src/test/java/org/apache/karaf/shell/impl/console/parsing/ParsingTest.java,
82,68,org.apache.karaf.main.lock.MySQLJDBCLockTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/main/src/test/java/org/apache/karaf/main/lock/MySQLJDBCLockTest.java,
83,69,org.apache.karaf.profile.impl.ProfilesTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/profile/src/test/java/org/apache/karaf/profile/impl/ProfilesTest.java,
84,72,org.apache.karaf.packages.core.internal.ImportDetailsTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/package/src/test/java/org/apache/karaf/packages/core/internal/ImportDetailsTest.java,
85,73,org.apache.karaf.tooling.VerifyMojoTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/tooling/karaf-maven-plugin/src/test/java/org/apache/karaf/tooling/VerifyMojoTest.java,
86,74,org.apache.karaf.profile.impl.PropertiesTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/profile/src/test/java/org/apache/karaf/profile/impl/PropertiesTest.java,
87,75,org.apache.karaf.webconsole.instance.InstancePluginTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/webconsole/instance/src/test/java/org/apache/karaf/webconsole/instance/InstancePluginTest.java,
88,76,org.apache.karaf.event.command.EventPrinterTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/event/src/test/java/org/apache/karaf/event/command/EventPrinterTest.java,
89,77,org.apache.karaf.config.core.impl.KarafConfigurationPluginTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/config/src/test/java/org/apache/karaf/config/core/impl/KarafConfigurationPluginTest.java,
90,78,org.apache.karaf.main.util.BootstrapLogManagerTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/main/src/test/java/org/apache/karaf/main/util/BootstrapLogManagerTest.java,
91,79,org.apache.karaf.deployer.spring.SpringDeploymentListenerTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/deployer/spring/src/test/java/org/apache/karaf/deployer/spring/SpringDeploymentListenerTest.java,
92,82,org.apache.karaf.main.lock.DerbyJDBCLockTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/main/src/test/java/org/apache/karaf/main/lock/DerbyJDBCLockTest.java,
93,86,org.apache.karaf.instance.core.internal.InstanceServiceImplTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/instance/src/test/java/org/apache/karaf/instance/core/internal/InstanceServiceImplTest.java,
94,87,org.apache.karaf.jpm.ProcessTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/instance/src/test/java/org/apache/karaf/jpm/ProcessTest.java,
95,88,org.apache.karaf.service.guard.tools.ACLConfigurationParserTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/service/guard/src/test/java/org/apache/karaf/service/guard/tools/ACLConfigurationParserTest.java,
96,89,org.apache.karaf.tooling.features.AddToRepositoryMojoTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/tooling/karaf-maven-plugin/src/test/java/org/apache/karaf/tooling/features/AddToRepositoryMojoTest.java,
97,90,org.apache.karaf.shell.support.ShellUtilTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/shell/core/src/test/java/org/apache/karaf/shell/support/ShellUtilTest.java,
98,93,org.apache.karaf.jaas.modules.audit.AbstractAuditLoginModuleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/jaas/modules/src/test/java/org/apache/karaf/jaas/modules/audit/AbstractAuditLoginModuleTest.java,
99,94,org.apache.karaf.service.command.ListServiceNamesTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/service/core/src/test/java/org/apache/karaf/service/command/ListServiceNamesTest.java,
100,96,org.apache.karaf.shell.ssh.SshUtilsTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/shell/ssh/src/test/java/org/apache/karaf/shell/ssh/SshUtilsTest.java,
101,98,org.apache.karaf.jaas.command.ManageRealmCommandTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/jaas/command/src/test/java/org/apache/karaf/jaas/command/ManageRealmCommandTest.java,
102,103,org.apache.karaf.shell.support.table.ShellTableTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/shell/core/src/test/java/org/apache/karaf/shell/support/table/ShellTableTest.java,
103,104,org.apache.karaf.bundle.core.internal.MavenConfigServiceTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/bundle/core/src/test/java/org/apache/karaf/bundle/core/internal/MavenConfigServiceTest.java,
104,100,org.apache.maven.surefire.junit4.JUnit4Provider,.,
